"ENSDARG00000092384"	"si:dkey-28d5.3"
"ENSDARG00000093673"	"si:dkey-28d5.4"
"ENSDARG00000094750"	"si:dkey-28d5.5"
"ENSDARG00000075669"	"CR318599.1"
"ENSDARG00000094225"	"si:dkey-28d5.7"
"ENSDARG00000095481"	"si:dkey-28d5.8"
"ENSDARG00000094294"	"si:dkey-28d5.9"
"ENSDARG00000093876"	"si:dkey-28d5.10"
"ENSDARG00000055332"	"si:dkey-28d5.11"
"ENSDARG00000077899"	"si:dkey-28d5.12"
"ENSDARG00000077260"	"si:dkey-28d5.13"
"ENSDARG00000077136"	"si:dkey-28d5.14"
"ENSDARG00000085277"	"5S_rRNA"
"ENSDARG00000077395"	"si:dkey-81n2.2"
"ENSDARG00000041389"	"si:dkey-81n2.1"
"ENSDARG00000092147"	"si:ch211-272h9.4"
"ENSDARG00000053114"	"si:ch211-272h9.3"
"ENSDARG00000032631"	"si:ch211-272h9.1"
"ENSDARG00000095105"	"si:ch211-272h9.7"
"ENSDARG00000093776"	"si:ch211-272h9.6"
"ENSDARG00000088615"	"CR847899.1"
"ENSDARG00000092167"	"si:ch211-272h9.5"
"ENSDARG00000095358"	"CU207259.3"
"ENSDARG00000055509"	"CU207259.1"
"ENSDARG00000092391"	"CU207259.2"
"ENSDARG00000092986"	"si:ch211-225k7.3"
"ENSDARG00000055424"	"CR392362.1"
"ENSDARG00000013743"	"slc12a10.1"
"ENSDARG00000082379"	"5S_rRNA"
"ENSDARG00000077554"	"KLHL33"
"ENSDARG00000093050"	"CR385046.7"
"ENSDARG00000092273"	"CR385046.5"
"ENSDARG00000087115"	"CR385046.2"
"ENSDARG00000091549"	"CR385046.3"
"ENSDARG00000092837"	"CR385046.6"
"ENSDARG00000094019"	"CR385046.8"
"ENSDARG00000092146"	"CR385046.4"
"ENSDARG00000075982"	"CR385046.1"
"ENSDARG00000094453"	"BX950862.6"
"ENSDARG00000087085"	"BX950862.4"
"ENSDARG00000079039"	"si:dkey-81n2.2"
"ENSDARG00000078750"	"BX950862.3"
"ENSDARG00000077692"	"BX950862.2"
"ENSDARG00000094184"	"BX950862.5"
"ENSDARG00000095091"	"BX950862.7"
"ENSDARG00000091460"	"BX950862.7"
"ENSDARG00000074261"	"BX950862.1"
"ENSDARG00000085392"	"5S_rRNA"
"ENSDARG00000095335"	"BX950862.8"
